0	0.000000	0.000000	0.001355
0.05	0.02519775	-3.8494891929375e-05	0.00166549066635414
0.1	0.0503955	-8.2172804535e-05	0.00176638757835521
0.15	0.07559325	-0.000125752446793125	0.00165769073600322
0.2	0.100791	-0.00016395252768	0.00133940013929815
0.25	0.12598875	-0.000191491756171875	0.000811515788240022
0.3	0.1511865	-0.000203088841245	7.4037682828825e-05
0.35	0.17638425	-0.000193462491875625	-0.000873034176935438
0.4	0.201582	-0.00015733141704	-0.00202969979105277
0.45	0.22677975	-8.9414325714375e-05	-0.00339595915952317
0.5	0.2519775	1.55700731249998e-05	-0.00497181228234664
0.55	0.27717525	0.000162903070501875	-0.00675725915952317
0.6	0.302373	0.00035786595744	-0.00875229979105277
0.65	0.32757075	0.000605740024963125	-0.0109569341769354
0.7	0.3527685	0.000911806564094999	-0.0133711623171712
0.75	0.37796625	0.00128134686585937	-0.01599498421176
0.8	0.403164	0.00171964222128	-0.0188283998607019
0.85	0.42836175	0.00223197392138062	-0.0218714092639968
0.9	0.4535595	0.002823623257185	-0.0251240124216448
0.95	0.47875725	0.00349987151971687	-0.0285862093336459
1	0.503955	0.004266	-0.032258
1.05	0.52918145	0.005328393859325	-0.0512307324883208
1.1	0.5544079	0.00681341225722	-0.0657644615568184
1.15	0.57963435	0.008609074895865	-0.0758591872054926
1.2	0.6048608	0.01060340147744	-0.0815149094343437
1.25	0.63008725	0.012684411704125	-0.0827316282433715
1.3	0.6553137	0.0147401252781	-0.0795093436325761
1.35	0.68054015	0.016658561901545	-0.0718480556019575
1.4	0.7057666	0.01832774127664	-0.0597477641515155
1.45	0.73099305	0.019635683105565	-0.0432084692812504
1.5	0.7562195	0.0204704070905	-0.022230170991162
1.55	0.78144595	0.020719932933625	0.00318713071874964
1.6	0.8066724	0.02027228033712	0.0330434358484845
1.65	0.83189885	0.019015469003165	0.0673387443980426
1.7	0.8571253	0.01683751863394	0.106073056367424
1.75	0.88235175	0.013626448931625	0.149246371756629
1.8	0.9075782	0.00927027959839998	0.196858690565656
1.85	0.93280465	0.003657030336445	0.248910012794507
1.9	0.9580311	-0.00332527915206002	0.305400338443182
1.95	0.98325755	-0.011788629164935	0.366329667511679
2	1.008484	-0.021845	0.431698
2.05	1.0339738	-0.0355717631649425	0.642833377048761
2.1	1.0594636	-0.05448851555822	0.838918867039757
2.15	1.0849534	-0.0782116385687075	1.01995446997299
2.2	1.1104432	-0.10635751358528	1.18594018584846
2.25	1.135933	-0.138542521996812	1.33687601466616
2.3	1.1614228	-0.17438304519218	1.4727619564261
